document_id,clean_text,sentiment
11,"There's a Doctor, Godwin Baxter, who can conjure - a variety of cut and shuts of wonder, he can pair the misaligned, outlandish tissues become twined, as he nurtures what's been lost, to form a daughter. He calls her Bella, she's a beauty to behold, musters wisdom to make sense of what she's sold, has the temper of a child, her carnal journey is quite wild, after Wedderburn, acquires her freehold. But this lady will not let manipulation, halt, curtail, derail her search for satisfaction, as her prowess escalates, no man on earth can stop, abate, she opposes forces bent, on her prostration.Another wonderful piece of filmmaking, from a great director, with a phenomenal leading lady who's in control.",positive
12,"Doctor Godwin Baxter brings Bella Baxter back to life, Bella is keen to grab life by the horns, and explore all that there is.First off, I watched this, wondering if there was something wrong with the screening, but it uses a right old mix of styles, going from an almost sepia visual, to striking, bold colour, it's a real mix of styles.I watched this after a fairly stressful day at work, and it totally took my mind off things, truly one of those movies that you escape into. I can't say it's a date night movie.I think this is going to be a film that you either love or hate, it is the most bizarre thing I've seen for many years, and I sat through the whole of Gormenghast.Surreal and crazy, yes, but it's also quite funny, I chuckled several times, it really is a wild mix.Credit to the cast, Willem Dafoe and Mark Ruffalo are great, Emma Stone ours in an awesome performance, the way she moves, and that look on her face of curious wonder, what a talent she is.I guarantee you won't see another film like this all year.Bizarre and wonderful, 9/10.",positive
13,"Clearly a lot of people enjoyed this grotesque movie, but it wasn't for me. Some of the scenes in it made me feel sick, and maybe they were supposed to, but it seemed unnecessary. Don't even get me started on how pretentious the movie was.I also found this movie very frustrating because the acting was good, the sets and costuming were good, and some scenes used striking cinematography. These things all made me feel like I should've liked the movie, but I don't. It could have been put to much better use.The sex and nudity is beyond gratuitous. I'm usually not bothered by sex scenes in movies, but for this particular film it felt perverted. Maybe the director has a weird fetish.Ultimately, this film made me want to crack my own head open and pour bleach over my brain. It's one of those movies I'd like to block out. I don't think I'll ever watch anything else by Lanthimos.",neutral
14,"High rating, I know, but keep in mind this movie is not for everyone. Nudity, profanity, quirkiness - and then a scene with Emma Stone and Mark Ruffalo that made me decide to stop being nervous about the situation it seemed to be making fun of, and just accept whatever was thrown at me. So funny, smart and ultimately a full arch of characters. Several great performances, and a cast that put a lot of faith into the production. Everyone is going for broke - and if nothing else, you have to love their fearlessness. Emma Stone continues to impress me so much, and even Willem Dafoe can surprise you after all these years. One of the best movies I've seen in a decade!",positive
15,"A uniquely grotesque Frankensteinian coming-of-age conglomeration of Shakespearean-speak dialog; lavish period settings, scenery and costuming; steam punk inspired machinery; copious use of ultra-wide angle camera lenses; and, apparently the most important ingredient to the script-writer, a frequent shock-value infusion of graphically gratuitous nudity and soft-porn throughout, willingly depicted by actors of all shapes and sizes, not the least of which, our unabashed hope-this-gets-me-an-Oscar starlet. In the end, nothing more than heady snob-bait, and a bizarrely dark and prurient nightmare that ""entertains"" at the same level as the real-time viewing of a multi-car pile-up crash.",neutral
16,"This has an 8.5 rating currently at this moment and was the only movie on the most popular list above 7 so I checked it out.Most people I can guarantee will not like this. At best, it's an overly artsy movie, but I disagree with even heaping that much praise on it. The best I can say about it is that Emma Stone does do some good work as far as acting, but that's beside the point. What was she thinking here? Almost never does a better known actress do this kind of work; maybe before they get bigger roles when they're unknown, but she's almost two decades into her mainstream career.This is basically truly a 70's soft porn movie akin to Lady Chatterly or something like that you'd see on late night cable back in the nineties. It has that weird 1970's vibe to it. It's one softcore porn scene after another mainly with the exception of the very beginning and one hour of it, weirdly erotic, and excessively unnecessary. For people who have a fetish for that kind of stuff, they might like it. I can't see most people rating this high. It doesn't tick any boxes of entertainment quality, but it may be artsy for people wanting something far out there.",positive
17,"In an engaging cinematic experience, ""Poor Things"" captivates from the start, primarily due to its skillfully crafted storyline. The plot follows a woman discovering the world, her innocence stolen, paving the way for powerful messages about individual freedom, self-discovery, innocence, and malevolence. The raw and effective feminist critique stands out for its originality, steering clear of the clichés often found in mainstream films with similar messages.Yorgos Lanthimos, renowned for his unique and bizarre approach, doesn't disappoint, presenting a peculiar and artistically rich cinematic universe. The creation of a fictitious version of Lisbon within an alternate and surreal context adds intriguing layers to the narrative, providing a true visual delight.Emma Stone's portrayal is the heart of the film, committing wholeheartedly to a demanding role. Her extraordinary performance delivers an emotionally engaging experience, deserving recognition in the awards season, potentially even earning her the coveted Best Actress Oscar.The original artistic flair of ""Poor Things"" is remarkable, shining through with impeccable cinematography that surpasses other esteemed productions. The film is bold, irreverent, and genuinely different, offering a unique experience for those willing to explore uncharted cinematic territories.However, despite its many merits, ""Poor Things"" is not without criticism. A segment, particularly during the boat journey to Greece, slows down, becoming somewhat tedious. Trimming 20 minutes from the overall duration could enhance the film's pacing.Its strength in originality also becomes a vulnerability. The unusual nature of the production may not resonate with all viewers, making it a film that requires an open mind to be fully appreciated. Ultimately, ""Poor Things"" stands as a remarkable cinematic work, leaving a lasting impression on those who venture into its peculiar and captivating narrative.",positive
18,"I am absolutely blown away by this film, and it breaks my heart I'll never again be able to experience it for the first time. ""Poor Things"" is the most original film in years, a cinematic masterpiece that dares to go boldly where few films venture. Yorgos Lanthimos and Emma Stone deliver a hilarious yet very dark comedy that keeps you on the edge of your seat.Poor Things"" not only redefines the boundaries of storytelling but also showcases the brilliance of its cast and crew. The film's daring exploration of societal issues, coupled with its wicked sense of humor, elevates it to a level of cinematic excellence rarely seen. Every scene is a testament to the meticulous craftsmanship of Yorgos Lanthimos and the captivating performances of Emma Stone, Willem Dafoe, and Mark Ruffalo. As a viewer, you'll find yourself laughing, contemplating, and marveling at the sheer audacity of this dark comedy. ""Poor Things"" isn't just a movie; it's an immersive experience that lingers in your thoughts, inviting you to reflect on its profound and thought-provoking themes. This cinematic gem is a triumph that will undoubtedly be remembered as one of the standout films of its time.",neutral
19,"Lack of creativity always focuses on the ""how"" instead of the ""what"". This film is a display of visual attempts to trap you in an absolute lack of well-crafted narrative. And I say visual attempt because it doesn't end up being something that visually makes sense. Everything is poorly developed, from the beginning to the end. There is no intrigue, not even in the end, which would have gave for a lot. The entire film is a spectacle of fireworks that are nothing more than that in order to try to entertain the eye as much as possible in about two and a half hours that seemed eternal, and where I managed to contemplate a worthy escape from the movie theater by first time in my life. I feel sorry for actors like Mr. Dafoe who, although he is spectacular as always, I highly doubt that this film has served him as anything more than making money. I feel sorry for Miss Stone for exposing herself and her skin this way for a movie that isn't worth it. I must be honest in saying that when the movie ended and the credits rolled I paid attention to a beautiful soundtrack as I got up from my seat exhausted.Sorry, but this film reminds me of these people in instagram making tiny sounds with old film cameras that nowbody uses anymore and in a truly nostalgic well recorded process that ends in a photography that do not work for nothing.",neutral
20,"The trailers hide the fact that the movie is all about sex. It's a soft porn movie that does not leave the main characters sexual exploits for the whole movie. Great sets and visually beautiful but the plot is very poor. Big actors who actually perform well in a weak, second rate and dragged out storyline. I would not recommend this movie. I believe the film is supposed to be a portrayal of female liberation but the final product is a degradation of the young female lead. It had the potential to be a good movie but I feel that the writers got lost and ran out of ideas and so just kept with the sex theme throughout.",positive
21,"Yorgos Lanthimos strikes once again with a bizarre, twisted, and outrageously entertaining masterclass of filmmaking.Poor Things is an absurd story following the re-animated Bella Baxter, who embarks on a journey of discovery with the caddish Mark Ruffalo. Suffice it to say that it is a bizarre story that is so rich in detail and layered with intriguing themes.What maybe struck me most, or at least surprised me most about this film is the visuals. It's a stunning film to look at, with such a rich colour palette and beautiful set designs. The creative design decisions made on this film were just sublime.Then there are the performances. Emma Stone and Mark Ruffalo both give absolutely inspired turns. Emma Stone brings a brilliant and curiously captivating energy to the role of Bella Baxter which is just fascinating and endlessly entertaining to watch. She thoroughly deserves all her plaudits for such a committed and remarkable display. Mark Ruffalo gives an absurd performance that is utterly ridiculous but works so well. If Emma Stone weren't so good he'd have stolen the show. To top this all off there's a thoroughly brilliant role for Willem Dafoe who is superb.As if all this isn't enough, the script is razor sharp, with brilliantly witty dialogue, great jokes, and well executed and deep emotional moments.Admittedly this film might not be for everyone due to some of its stranger elements, but it really is not one to be missed.",positive
22,"Nothing like a movie that does what cinema is supposed to do, give you a story as visual as it is audible. It was fun just looking at the style of this film.The story in itself was quite amazing. What seems like a strange take on Frankenstein with Willima Defoe perfectly playing the role of the doctor.Emma Stone was fantastic in this lead role; she seemed to go all in and all out to make this character breathe.Last but not least Mark Rufflo just showcases what a great actor he is.It's not a coincidence this film came out in December. It is going for that gold, and I would not be surprised if it won everything it went up for.Deserves it.",positive
23,"I gave this film a second try , I believe everyone deserves a second chance and no one a thirdThis was definitely better on the second viewing as I knew what to expect & im glad I held off before writing my review as the first time I saw it I gave it 1/10 for the first half & it wasn't until the title of my review did it change gear into dark comedy & once I knew what I was watching in first look it ended up 4/10 but its definitely better second time as I knew what to expect & what would shock me - it's the comedy that makes this filmWARNING some of the language & nudity explain why it's an 18 certificate- if you're easily offended don't watchPOSITIVES - mis en scene superb , great use of black & white to signify enlightenment & use of colour as she comes into self awarenessCinematography was superb too with the use of fish eye lens to make you feel you're in Picasso dream on Victorian steam punk opiumCostume amazing & certainly steam punk inspired , studio based location sets give you the impression you're watching a Wes Anderson film like The Grand BudapestMusic & dancing help suspend the realitySo if you put the singer bjork with all her eccentricities, Frankenstein , elephant man , dr mengele , pride & prejudice , pygmalion together then you have the rough plot.Second viewing is definitely better & it's great seeing how the female protagonist played by Emma Stone's character gets stronger & stronger whilst becoming a femme fatal breaking hearts wherever she goes , no kind hearted man or Casanova is safe once the black widow has you in her clutchesSo go see it but expect to be shocked like Saltburn shocked you - this is an avante Garde European movie that probably wouldn't have got the viewing figures had it not had Hollywood money behind it & stars such Willem Dafoe in itTwice as good on second viewing it's wonderful seeing mark rufalows character wdderburn fall from grace & wonderful seeing Bella rise as he falls with her lack of empathyThis is a great piece of cinema art - if you like arthouse cinema you'll love thisPad. A 8/10.",positive
24,"This movie dials pretty much everything up to 11 - the wit, the rudeness, the production design, the gruesomeness, the performances, the sex...and the humanity too. I knew the basic set-up, but nothing could have prepared me for the 140 minutes after that. It is a movie that wants to make you laugh and cringe while thinking deep thoughts about what it means to be alive and have a conscience and feel things like pleasure and guilt. While some scenes leaned into certain elements more than others, Lanthimos succeeds at making the audience come face-to-face with questions that are not typical at the movies in 2024. And he gets a lot of help bringing his vision to life from the amazing performances. Stone and Ruffalo are especially good. It is a bizarre ride, but you won't regret going on it. (Or maybe you will, but i guarantee you won't have seen anything quite like it!)",positive
25,"This film is primarily satire. It is a playful take on the Frankenstein template: there's a creator and a ""monster"", except the creator is burdened with his own monster-like and doomed qualities (a victim of experimentation himself) and the creation is blessed with beauty, free will, and power.The gender-swap is what makes all the difference: Bella (given the name of ""beauty"" rather than a monstrous name) would have been a ""born sexy yesterday"" trope, i.e. That common 80s-and-earlier trope, where a sexually appealing grown woman has the mind and world-knowledge of a child, therefore relying on a male mentor to teach her - and use her. But she fully turns the trope on its head when her free will shines through from the very beginning, as she quickly realises she can seize her own freedom and become whoever she likes.Freudian influences aside (we see Bella going through various stages of maturity, governed by the ""ego"" and then the ""superego""), there isn't too much to analyse about this film's depth. It's all pretty self-explanatory, while also unhinged and most of all fun. I feel that some critics' obsession with finding deep meanings just because it's an art-house film takes away from the film's main mood, which is unapologetically entertaining, up to the very final scene.Visually, there's so much to enjoy. All the Victorian and Steampunk references, in an unlikely and yet entirely successful marriage with Surrealist imagery (I especially got some Frida Kahlo vibes). After seeing the trailer, I was worried about whether and how the heavy use of CGI landscapes would work, but it really works just fine, specifically within those Surrealist aesthetics.It's a film that doesn't let you get bored for one second. Emma Stone just slays every single scene, with mind-blowing physicality. All her scene partners are equally enchanting. I loved Mark Ruffalo's buffoonery as Bella's increasingly desperate lover and Willem Dafoe's eerie and almost heartbreaking presence as ""God"" (short for Godfried, but you see what they did there).It's unique.It's masterful.It's great cinema.",positive
26,"If you've seen any Yorgos Lathimos film, Poor Things is everything you would have expected and hoped for. If you haven't seen any of his films, buckle up. That's all I'll say.Poor Things is a thoroughly outrageous romp. It's trippy, disturbing and brutally funny. You could summarize this film as, essentially, a feminist spin on A Clockwork Orange. Both films/novels explore the concept of freewill in an oppressive society. But while Alex struggles with his repugnant urges for ultra-violence, Bella struggles with her normal primal urges of sexual liberation and independence. What women are expected to do in this dystopian universe, Bella does the opposite, and much to the chagrin of her male caretakers. Despite being created in a laboratory by a mad scientist and saddled with the brain of the infant child she was pregnant with, Bella forms an insatiable appetite for exploring and thriving.Poor Things celebrates hedonism, but in a way that's both honest and humorous. Lathimos finds freewill to be as necessary as the air we breathe, and at times, that challenges so-called ""polite society"". Consider Bella an avatar for the id. Or, perhaps consider her a pioneer and a rebel. Whatever impression you make out of this, you will be blown away by Bella, who is truly the heart and soul of this entire movie. This is the defining role of Emma Stone's career. She captures a level of vulnerability and aching desire that we haven't seen from any actor in a long time.Poor Things holds nothing back. There's a lot of sex. A lot of awkward, unsexy, sex. Perhaps it's the most realistic sex we've ever seen in a film! The special effects here are some of the strangest and most inspired of Lathimos's entire career. Mark Ruffalo's performance as Duncan is by far the year's best comedic performance.If you're looking for a cinematic spectacle this holiday season, you've found it right here.",positive
